"Match_Id","Innings","Team","Over","Runs Scored","Extras","Overall","x","RunRate","Target","RunsNeeded","RunRateNeeded","Team1","Team2","Toss_Winner","match_winner","TossWin","Win"
335991,2,1,10,2,1,3,38,3.8,111,73,7.3,1,8,8,1,0,1
336005,2,1,10,4,0,4,78,7.8,197,119,11.9,5,1,5,5,0,0
336008,2,1,10,7,0,7,52,5.2,179,127,12.7,4,1,4,4,0,0
336040,2,1,10,7,1,8,74,7.4,175,101,10.1,1,4,4,1,0,1
392191,2,1,10,1,0,1,79,7.9,159,80,8,4,1,1,1,1,1
392208,2,1,10,5,1,6,60,6,149,89,8.9,1,7,7,7,0,0
392236,2,1,10,5,0,5,83,8.3,189,106,10.6,3,1,3,1,0,1
392238,2,1,10,1,0,1,38,3.8,102,64,6.4,1,5,1,1,1,1
419114,2,1,10,6,0,6,85,8.5,136,51,5.1,1,2,1,1,1,1
419118,2,1,10,6,0,6,67,6.7,165,98,9.8,1,3,3,3,0,0
419123,2,1,10,6,0,6,65,6.5,169,104,10.4,5,1,5,5,0,0
419136,2,1,10,2,1,3,55,5.5,178,123,12.3,6,1,6,6,0,0
419163,2,1,10,5,0,5,69,6.9,133,64,6.4,1,5,5,1,0,1
419166,2,1,10,9,0,9,72,7.2,134,62,6.2,1,7,7,1,0,1
501203,2,1,10,12,0,12,76,7.6,154,78,7.8,3,1,3,3,0,0
501214,2,1,10,6,0,6,90,9,160,70,7,5,1,1,1,1,1
501219,2,1,10,4,0,4,45,4.5,82,37,3.7,1,5,1,1,1,1
501224,2,1,10,3,4,7,59,5.9,133,74,7.4,1,9,1,9,1,0
501239,2,1,10,9,0,9,71,7.1,120,49,4.9,1,4,1,1,1,1
501247,2,1,10,7,0,7,69,6.9,157,88,8.8,9,1,1,9,1,0
501250,2,1,10,8,1,9,61,6.1,115,54,5.4,1,3,3,1,0,1
501267,2,1,10,5,0,5,74,7.4,119,45,4.5,10,1,1,1,1,1
548317,2,1,10,12,1,13,65,6.5,165,100,10,5,1,1,5,1,0
548325,2,1,10,7,0,7,68,6.8,132,64,6.4,1,5,5,1,0,1
548328,2,1,10,3,1,4,70,7,135,65,6.5,1,4,1,4,1,0
548333,2,1,10,3,0,3,75,7.5,125,50,5,4,1,4,1,0,1
548340,2,1,10,6,1,7,65,6.5,127,62,6.2,8,1,1,1,1,1
548352,2,1,10,4,0,4,68,6.8,140,72,7.2,3,1,3,1,0,1
548362,2,1,10,4,0,4,80,8,154,74,7.4,6,1,6,1,0,1
548368,2,1,10,9,0,9,61,6.1,183,122,12.2,1,7,7,7,0,0
548386,2,1,10,9,0,9,100,10,191,91,9.1,1,3,3,1,0,1
598003,2,1,10,7,0,7,75,7.5,129,54,5.4,1,6,1,1,1,1
598010,2,1,10,1,4,5,55,5.5,145,90,9,5,1,1,5,1,0
598021,2,1,10,8,0,8,82,8.2,158,76,7.6,4,1,1,4,1,0
598036,2,1,10,8,1,9,75,7.5,150,75,7.5,1,4,4,1,0,1
598039,2,1,10,9,0,9,85,8.5,201,116,11.6,3,1,1,3,1,0
598048,2,1,10,7,0,7,82,8.2,133,51,5.1,1,5,5,1,0,1
598055,2,1,10,3,4,7,62,6.2,171,109,10.9,7,1,7,7,0,0
598062,2,1,10,10,0,10,61,6.1,116,55,5.5,1,2,1,1,1,1
598066,2,1,10,8,0,8,74,7.4,171,97,9.7,1,10,1,10,1,0
729312,2,1,10,4,0,4,43,4.3,133,90,9,1,4,1,4,1,0
733976,2,1,10,2,0,2,66,6.6,149,83,8.3,3,1,3,3,0,0
733984,2,1,10,4,1,5,80,8,171,91,9.1,5,1,1,5,1,0
733990,2,1,10,13,0,13,90,9,161,71,7.1,6,1,6,1,0,1
734002,2,1,10,10,0,10,89,8.9,150,61,6.1,4,1,1,1,1,1
734014,2,1,10,7,0,7,68,6.8,142,74,7.4,1,7,1,1,1,1
734020,2,1,10,7,0,7,60,6,143,83,8.3,11,1,11,1,0,1
734028,2,1,10,8,2,10,88,8.8,155,67,6.7,1,3,1,1,1,1
734042,2,1,10,7,0,7,78,7.8,161,83,8.3,1,11,1,1,1,1
734054,2,1,10,2,0,2,89,8.9,200,111,11.1,1,4,1,1,1,1
829710,2,1,10,11,0,11,85,8.5,169,84,8.4,1,7,1,1,1,1
829728,2,1,10,8,1,9,66,6.6,166,100,10,1,3,1,1,1,1
829738,2,1,10,5,0,5,68,6.8,156,88,8.8,4,1,1,1,1,1
829744,2,1,10,7,1,8,79,7.9,147,68,6.8,6,1,1,1,1,1
829748,2,1,10,5,0,5,86,8.6,177,91,9.1,11,1,1,11,1,0
829770,2,1,10,3,0,3,70,7,135,65,6.5,3,1,1,3,1,0
829796,2,1,10,5,0,5,74,7.4,184,110,11,1,4,4,1,0,1
829810,2,1,10,7,0,7,74,7.4,172,98,9.8,7,1,1,7,1,0
829816,2,1,10,10,0,10,97,9.7,200,103,10.3,5,1,5,5,0,0
980908,2,1,10,2,5,7,69,6.9,99,30,3,1,6,1,1,1,1
980920,2,1,10,10,1,11,72,7.2,143,71,7.1,11,1,11,1,0,1
980930,2,1,10,10,0,10,93,9.3,139,46,4.6,4,1,1,1,1,1
980944,2,1,10,6,0,6,78,7.8,161,83,8.3,12,1,1,1,1,1
980956,2,1,10,16,6,22,88,8.8,187,99,9.9,6,1,1,6,1,0
980964,2,1,10,2,1,3,69,6.9,186,117,11.7,2,1,1,1,1,1
981020,2,1,10,3,0,3,66,6.6,163,97,9.7,11,1,1,11,1,0
1082593,2,1,10,7,0,7,116,11.6,184,68,6.8,13,1,1,1,1,1
1082601,2,1,10,9,0,9,116,11.6,171,55,5.5,1,4,1,1,1,1
1082608,2,1,10,8,5,13,88,8.8,169,81,8.1,6,1,6,1,0,1
1082620,2,1,10,13,1,14,101,10.1,183,82,8.2,12,1,1,1,1,1
1082622,2,1,10,8,0,8,101,10.1,161,60,6,1,6,1,1,1,1
1082627,2,1,10,9,1,10,82,8.2,210,128,12.8,11,1,1,11,1,0
1082636,2,1,10,9,2,11,126,12.6,159,33,3.3,2,1,1,1,1,1
1082639,2,1,10,3,0,3,79,7.9,168,89,8.9,4,1,1,4,1,0
1082644,2,1,10,5,0,5,92,9.2,174,82,8.2,1,7,1,7,1,0
335987,2,2,10,6,2,8,51,5.1,223,172,17.2,2,1,2,1,1,0
335990,2,2,10,7,0,7,76,7.6,166,90,9,7,2,7,2,0,1
336001,2,2,10,11,0,11,93,9.3,179,86,8.6,2,3,3,3,0,0
336003,2,2,10,11,1,12,83,8.3,192,109,10.9,6,2,2,6,1,0
336007,2,2,10,3,0,3,61,6.1,166,105,10.5,8,2,8,2,0,1
336015,2,2,10,2,0,2,53,5.3,130,77,7.7,1,2,1,1,0,0
336028,2,2,10,5,0,5,38,3.8,198,160,16,5,2,2,5,1,0
392190,2,2,10,3,0,3,56,5.6,180,124,12.4,2,3,3,3,0,0
392193,2,2,10,7,0,7,57,5.7,185,128,12.8,2,8,8,8,0,0
392204,2,2,10,8,0,8,65,6.5,140,75,7.5,2,1,1,2,0,1
392213,2,2,10,6,0,6,74,7.4,150,76,7.6,2,7,7,2,0,1
392223,2,2,10,4,0,4,58,5.8,158,100,10,2,7,7,7,0,0
392226,2,2,10,7,0,7,70,7,174,104,10.4,2,1,2,2,1,1
392229,2,2,10,5,0,5,57,5.7,130,73,7.3,2,3,3,2,0,1
392237,2,2,10,6,0,6,54,5.4,135,81,8.1,2,6,6,2,0,1
392243,2,2,10,2,1,3,82,8.2,147,65,6.5,2,3,2,2,1,1
392244,2,2,10,9,1,10,69,6.9,144,75,7.5,2,8,2,8,1,0
419117,2,2,10,11,0,11,89,8.9,204,115,11.5,2,4,4,2,0,1
419120,2,2,10,5,0,5,90,9,93,3,0.3,2,5,2,2,1,1
419124,2,2,10,8,0,8,85,8.5,152,67,6.7,7,2,7,2,0,1
419133,2,2,10,7,0,7,78,7.8,184,106,10.6,2,6,2,6,1,0
419141,2,2,10,7,2,9,77,7.7,182,105,10.5,4,2,4,2,0,1
419145,2,2,10,5,0,5,56,5.6,185,129,12.9,6,2,6,6,0,0
419153,2,2,10,6,1,7,76,7.6,161,85,8.5,2,1,2,2,1,1
419156,2,2,10,3,0,3,72,7.2,152,80,8,8,2,2,8,1,0
419159,2,2,10,6,0,6,91,9.1,131,40,4,5,2,5,2,0,1
419162,2,2,10,5,1,6,64,6.4,192,128,12.8,2,7,2,7,1,0
419167,2,2,10,2,1,3,83,8.3,185,102,10.2,2,7,7,7,0,0
419169,2,2,10,6,1,7,53,5.3,83,30,3,2,8,8,2,0,1
501205,2,2,10,5,0,5,85,8.5,162,77,7.7,9,2,9,2,0,1
501213,2,2,10,8,0,8,53,5.3,176,123,12.3,8,2,2,8,1,0
501216,2,2,10,10,0,10,67,6.7,184,117,11.7,3,2,3,3,0,0
501227,2,2,10,4,0,4,92,9.2,172,80,8,1,2,2,2,1,1
501232,2,2,10,1,0,1,97,9.7,161,64,6.4,6,2,2,2,1,1
501252,2,2,10,7,0,7,109,10.9,126,17,1.7,2,9,9,2,0,1
501257,2,2,10,4,0,4,86,8.6,147,61,6.1,5,2,2,2,1,1
501260,2,2,10,2,2,4,89,8.9,90,1,0.1,2,1,2,2,1,1
501265,2,2,10,7,0,7,69,6.9,233,164,16.4,4,2,4,4,0,0
501271,2,2,10,9,0,9,80,8,129,49,4.9,2,3,2,2,1,1
501276,2,2,10,2,0,2,69,6.9,206,137,13.7,3,2,3,3,0,0
548320,2,2,10,10,0,10,43,4.3,166,123,12.3,2,1,2,1,1,0
548329,2,2,10,5,0,5,76,7.6,196,120,12,2,5,5,5,0,0
548332,2,2,10,7,0,7,63,6.3,183,120,12,2,10,10,2,0,1
548336,2,2,10,12,0,12,72,7.2,164,92,9.2,4,2,2,2,1,1
548349,2,2,10,7,2,9,56,5.6,191,135,13.5,1,2,1,1,0,0
548361,2,2,10,9,0,9,83,8.3,182,99,9.9,2,8,2,2,1,1
548365,2,2,10,4,0,4,54,5.4,142,88,8.8,7,2,2,2,1,1
548381,2,2,10,3,0,3,51,5.1,133,82,8.2,8,2,2,8,1,0
598013,2,2,10,5,0,5,80,8,155,75,7.5,2,1,2,2,1,1
598028,2,2,10,1,2,3,67,6.7,118,51,5.1,2,5,2,2,1,1
598038,2,2,10,9,1,10,66,6.6,195,129,12.9,7,2,7,7,0,0
598053,2,2,10,8,0,8,69,6.9,162,93,9.3,2,11,11,2,0,1
729286,2,2,10,5,1,6,69,6.9,146,77,7.7,6,2,2,2,1,1
729292,2,2,10,3,0,3,50,5,116,66,6.6,2,7,2,2,1,1
729304,2,2,10,5,0,5,77,7.7,151,74,7.4,2,1,2,1,1,0
733982,2,2,10,8,1,9,59,5.9,156,97,9.7,2,11,2,2,1,1
733988,2,2,10,12,4,16,98,9.8,188,90,9,7,2,2,7,1,0
733996,2,2,10,4,0,4,52,5.2,199,147,14.7,2,4,2,4,1,0
734018,2,2,10,6,0,6,45,4.5,139,94,9.4,3,2,3,2,0,1
734032,2,2,10,5,0,5,72,7.2,196,124,12.4,1,2,2,1,1,0
829718,2,2,10,10,1,11,77,7.7,178,101,10.1,1,2,2,2,1,1
829742,2,2,10,4,0,4,60,6,210,150,15,2,7,2,7,1,0
829750,2,2,10,13,0,13,75,7.5,182,107,10.7,2,3,2,3,1,0
829754,2,2,10,7,0,7,83,8.3,131,48,4.8,5,2,2,2,1,1
829762,2,2,10,3,0,3,90,9,96,6,0.6,6,2,2,2,1,1
829776,2,2,10,15,0,15,115,11.5,112,-3,-0.3,2,1,2,2,1,1
829784,2,2,10,6,0,6,71,7.1,149,78,7.8,3,2,3,3,0,0
829808,2,2,10,4,1,5,84,8.4,107,23,2.3,4,2,2,4,1,0
980958,2,2,10,6,0,6,83,8.3,195,112,11.2,11,2,2,11,1,0
980974,2,2,10,11,0,11,81,8.1,192,111,11.1,2,12,2,2,1,1
981000,2,2,10,9,0,9,91,9.1,184,93,9.3,1,2,2,2,1,1
981016,2,2,10,8,0,8,83,8.3,139,56,5.6,6,2,2,2,1,1
981018,2,2,10,5,0,5,70,7,159,89,8.9,13,2,2,2,1,1
981024,2,2,10,12,0,12,112,11.2,209,97,9.7,2,11,11,11,0,0
1082591,2,2,10,12,1,13,98,9.8,208,110,11,11,2,2,11,1,0
1082607,2,2,10,3,1,4,67,6.7,162,95,9.5,2,12,2,12,1,0
1082617,2,2,10,1,0,1,49,4.9,132,83,8.3,1,2,2,1,1,0
1082624,2,2,10,0,1,1,49,4.9,158,109,10.9,12,2,2,12,1,0
1082633,2,2,10,13,0,13,68,6.8,139,71,7.1,2,4,2,4,1,0
335998,2,3,10,5,0,5,77,7.7,148,71,7.1,3,1,1,3,0,1
336014,2,3,10,3,0,3,98,9.8,188,90,9,6,3,3,3,1,1
336034,2,3,10,1,0,1,61,6.1,127,66,6.6,3,2,2,2,0,0
336038,2,3,10,13,2,15,99,9.9,212,113,11.3,3,5,5,5,0,0
336042,2,3,10,4,0,4,72,7.2,148,76,7.6,8,3,8,3,0,1
336044,2,3,10,2,0,2,62,6.2,113,51,5.1,3,4,4,3,0,1
392186,2,3,10,3,1,4,70,7,166,96,9.6,3,7,3,7,1,0
392194,2,3,10,9,0,9,106,10.6,190,84,8.4,3,6,6,6,0,0
392222,2,3,10,5,1,6,67,6.7,141,74,7.4,3,5,5,3,0,1
392232,2,3,10,5,1,6,56,5.6,148,92,9.2,3,7,7,3,0,1
419115,2,3,10,11,0,11,70,7,191,121,12.1,3,8,8,8,0,0
419121,2,3,10,13,0,13,102,10.2,186,84,8.4,6,3,6,3,0,1
419128,2,3,10,8,0,8,61,6.1,172,111,11.1,2,3,3,2,1,0
419134,2,3,10,4,0,4,80,8,178,98,9.8,5,3,5,5,0,0
419138,2,3,10,8,0,8,89,8.9,162,73,7.3,3,2,2,3,0,1
419158,2,3,10,14,1,15,103,10.3,140,37,3.7,3,1,1,3,0,1
419164,2,3,10,8,0,8,94,9.4,193,99,9.9,4,3,3,3,1,1
501226,2,3,10,8,0,8,84,8.4,165,81,8.1,7,3,3,7,1,0
501233,2,3,10,10,0,10,65,6.5,142,77,7.7,10,3,10,3,0,1
501245,2,3,10,6,0,6,73,7.3,148,75,7.5,3,5,5,3,0,1
501273,2,3,10,10,0,10,62,6.2,176,114,11.4,2,3,3,3,1,1
548323,2,3,10,14,0,14,85,8.5,206,121,12.1,3,2,2,3,0,1
548337,2,3,10,4,0,4,70,7,147,77,7.7,3,5,5,3,0,1
548348,2,3,10,3,0,3,69,6.9,157,88,8.8,3,4,4,4,0,0
548366,2,3,10,4,0,4,53,5.3,127,74,7.4,5,3,3,3,1,1
548369,2,3,10,5,0,5,75,7.5,115,40,4,3,6,3,3,1,1
548373,2,3,10,8,0,8,96,9.6,159,63,6.3,1,3,3,3,1,1
598007,2,3,10,9,0,9,58,5.8,149,91,9.1,3,7,7,7,0,0
598012,2,3,10,6,0,6,65,6.5,139,74,7.4,4,3,3,3,1,1
598017,2,3,10,10,0,10,64,6.4,166,102,10.2,3,2,3,3,1,1
598020,2,3,10,6,0,6,63,6.3,160,97,9.7,3,10,10,10,0,0
598027,2,3,10,8,0,8,48,4.8,120,72,7.2,1,3,1,3,0,1
598031,2,3,10,11,0,11,92,9.2,186,94,9.4,3,5,5,3,0,1
598035,2,3,10,1,0,1,76,7.6,160,84,8.4,3,11,11,3,0,1
598051,2,3,10,8,0,8,48,4.8,140,92,9.2,7,3,7,7,0,0
598078,2,3,10,3,1,4,54,5.4,149,95,9.5,3,7,7,7,0,0
729308,2,3,10,10,1,11,76,7.6,142,66,6.6,3,7,7,3,0,1
729316,2,3,10,3,0,3,75,7.5,146,71,7.1,11,3,11,3,0,1
733986,2,3,10,2,0,2,69,6.9,179,110,11,6,3,3,3,1,1
733992,2,3,10,13,0,13,85,8.5,232,147,14.7,4,3,3,4,1,0
734000,2,3,10,15,0,15,75,7.5,158,83,8.3,7,3,3,3,1,1
734008,2,3,10,2,0,2,76,7.6,149,73,7.3,3,5,5,3,0,1
734040,2,3,10,3,0,3,87,8.7,155,68,6.8,2,3,3,3,1,1
734050,2,3,10,9,0,9,89,8.9,174,85,8.5,3,7,3,3,1,1
734052,2,3,10,3,2,5,122,12.2,227,105,10.5,3,4,3,4,1,0
829734,2,3,10,7,0,7,128,12.8,184,56,5.6,7,3,7,3,0,1
829778,2,3,10,6,0,6,87,8.7,193,106,10.6,11,3,3,11,1,0
829814,2,3,10,9,0,9,76,7.6,131,55,5.5,4,3,4,3,0,1
829822,2,3,10,6,1,7,86,8.6,188,102,10.2,3,7,7,7,0,0
829826,2,3,10,4,0,4,62,6.2,140,78,7.8,3,2,3,3,1,1
829828,2,3,10,9,1,10,67,6.7,203,136,13.6,7,3,3,7,1,0
335988,2,4,10,13,0,13,110,11,241,131,13.1,4,3,3,3,0,0
336000,2,4,10,6,0,6,81,8.1,159,78,7.8,4,6,6,4,0,1
336004,2,4,10,10,0,10,77,7.7,165,88,8.8,8,4,4,4,1,1
336011,2,4,10,14,0,14,81,8.1,127,46,4.6,2,4,4,4,1,1
336018,2,4,10,7,1,8,76,7.6,182,106,10.6,3,4,4,3,1,0
336021,2,4,10,4,0,4,70,7,144,74,7.4,4,2,2,4,0,1
336036,2,4,10,4,0,4,101,10.1,176,75,7.5,4,8,4,4,1,1
392196,2,4,10,12,1,13,80,8,169,89,8.9,2,4,2,4,0,1
392209,2,4,10,7,0,7,70,7,146,76,7.6,2,4,2,2,0,0
392212,2,4,10,3,1,4,81,8.1,154,73,7.3,4,1,1,4,0,1
392215,2,4,10,2,2,4,53,5.3,212,159,15.9,4,5,4,5,1,0
392219,2,4,10,5,1,6,90,9,186,96,9.6,3,4,3,3,0,0
392221,2,4,10,6,0,6,86,8.6,169,83,8.3,8,4,4,4,1,1
392231,2,4,10,1,0,1,46,4.6,121,75,7.5,6,4,4,4,1,1
392239,2,4,10,3,1,4,42,4.2,117,75,7.5,3,4,3,3,0,0
419122,2,4,10,6,0,6,57,5.7,171,114,11.4,8,4,4,8,1,0
419129,2,4,10,9,1,10,102,10.2,184,82,8.2,4,5,4,5,1,0
419132,2,4,10,9,0,9,74,7.4,184,110,11,4,1,1,1,0,0
419144,2,4,10,14,0,14,107,10.7,201,94,9.4,1,4,1,4,0,1
419151,2,4,10,6,0,6,87,8.7,155,68,6.8,4,7,7,4,0,1
419154,2,4,10,6,1,7,59,5.9,112,53,5.3,6,4,6,4,0,1
501211,2,4,10,13,0,13,99,9.9,189,90,9,4,3,4,4,1,1
501217,2,4,10,8,0,8,104,10.4,166,62,6.2,8,4,4,4,1,1
501228,2,4,10,5,0,5,96,9.6,232,136,13.6,6,4,4,6,1,0
501242,2,4,10,6,1,7,62,6.2,160,98,9.8,7,4,4,7,1,0
501249,2,4,10,4,0,4,62,6.2,206,144,14.4,2,4,4,2,1,0
501259,2,4,10,11,1,12,84,8.4,179,95,9.5,9,4,4,4,1,1
501269,2,4,10,4,1,5,77,7.7,199,122,12.2,4,8,4,8,1,0
548314,2,4,10,4,1,5,73,7.3,192,119,11.9,5,4,4,5,1,0
548318,2,4,10,4,4,8,53,5.3,167,114,11.4,10,4,10,10,0,0
548324,2,4,10,5,0,5,60,6,116,56,5.6,4,10,4,4,1,1
548339,2,4,10,14,0,14,75,7.5,163,88,8.8,7,4,7,4,0,1
548355,2,4,10,7,0,7,80,8,159,79,7.9,2,4,4,4,1,1
548359,2,4,10,5,0,5,65,6.5,178,113,11.3,4,5,5,5,0,0
548371,2,4,10,11,0,11,76,7.6,191,115,11.5,4,8,8,4,0,1
548376,2,4,10,8,1,9,65,6.5,121,56,5.6,4,3,4,4,1,1
598008,2,4,10,9,0,9,84,8.4,100,16,1.6,10,4,10,4,0,1
598030,2,4,10,11,0,11,83,8.3,186,103,10.3,4,10,4,4,1,1
598042,2,4,10,3,0,3,80,8,175,95,9.5,7,4,7,7,0,0
598046,2,4,10,8,0,8,65,6.5,187,122,12.2,3,4,3,3,0,0
598050,2,4,10,3,0,3,79,7.9,175,96,9.6,2,4,4,4,1,1
598061,2,4,10,3,0,3,54,5.4,151,97,9.7,4,11,4,11,1,0
598064,2,4,10,7,4,11,77,7.7,121,44,4.4,6,4,4,4,1,1
598069,2,4,10,6,4,10,68,6.8,191,123,12.3,4,2,4,4,1,1
729288,2,4,10,3,0,3,93,9.3,206,113,11.3,3,4,3,4,0,1
729296,2,4,10,4,0,4,69,6.9,192,123,12.3,5,4,4,4,1,1
729318,2,4,10,3,4,7,63,6.3,125,62,6.2,4,2,4,4,1,1
734012,2,4,10,6,0,6,131,13.1,206,75,7.5,11,4,4,4,1,1
734024,2,4,10,3,0,3,95,9.5,165,70,7,6,4,4,4,1,1
734044,2,4,10,8,1,9,78,7.8,116,38,3.8,4,6,4,4,1,1
734048,2,4,10,8,0,8,68,6.8,164,96,9.6,4,1,4,1,1,0
829714,2,4,10,1,0,1,66,6.6,163,97,9.7,4,5,4,5,1,0
829758,2,4,10,2,0,2,57,5.7,193,136,13.6,3,4,3,3,0,0
829764,2,4,10,4,1,5,61,6.1,151,90,9,4,11,4,11,1,0
829780,2,4,10,4,0,4,73,7.3,173,100,10,4,7,7,7,0,0
829790,2,4,10,12,0,12,63,6.3,227,164,16.4,2,4,4,2,1,0
829804,2,4,10,5,0,5,70,7,186,116,11.6,11,4,11,11,0,0
980924,2,4,10,7,0,7,71,7.1,153,82,8.2,4,12,12,4,0,1
980946,2,4,10,7,0,7,75,7.5,190,115,11.5,4,7,4,7,1,0
980968,2,4,10,11,0,11,64,6.4,165,101,10.1,1,4,4,1,1,0
980982,2,4,10,9,0,9,83,8.3,176,93,9.3,4,2,4,2,1,0
980990,2,4,10,8,0,8,61,6.1,125,64,6.4,7,4,7,4,0,1
981004,2,4,10,5,1,6,90,9,212,122,12.2,2,4,4,2,1,0
1082594,2,4,10,7,0,7,73,7.3,164,91,9.1,4,12,4,4,1,1
1082598,2,4,10,11,1,12,97,9.7,149,52,5.2,4,2,2,4,0,1
1082605,2,4,10,11,0,11,64,6.4,189,125,12.5,6,4,6,6,0,0
1082609,2,4,10,1,0,1,62,6.2,160,98,9.8,11,4,4,11,1,0
1082623,2,4,10,1,0,1,76,7.6,208,132,13.2,4,11,4,11,1,0
335992,2,5,10,11,0,11,87,8.7,167,80,8,5,4,4,5,0,1
335995,2,5,10,4,0,4,114,11.4,215,101,10.1,8,5,5,5,1,1
335997,2,5,10,4,1,5,73,7.3,136,63,6.3,2,5,5,5,1,1
336010,2,5,10,4,0,4,78,7.8,110,32,3.2,5,3,3,5,0,1
336016,2,5,10,12,0,12,81,8.1,141,60,6,5,8,5,5,1,1
336020,2,5,10,15,0,15,80,8,157,77,7.7,5,6,5,5,1,1
336024,2,5,10,13,0,13,67,6.7,222,155,15.5,4,5,5,4,1,0
336032,2,5,10,7,0,7,69,6.9,148,79,7.9,1,5,5,5,1,1
336041,2,5,10,13,0,13,67,6.7,146,79,7.9,5,7,5,5,1,1
336045,2,5,10,14,0,14,75,7.5,164,89,8.9,3,5,5,5,1,1
392187,2,5,10,4,0,4,32,3.2,134,102,10.2,2,5,2,2,0,0
392200,2,5,10,5,0,5,48,4.8,140,92,9.2,4,5,4,4,0,0
392203,2,5,10,4,0,4,60,6,144,84,8.4,6,5,6,5,0,1
392210,2,5,10,6,0,6,60,6,142,82,8.2,8,5,8,5,0,1
392218,2,5,10,11,0,11,62,6.2,106,44,4.4,2,5,5,5,1,1
392225,2,5,10,8,0,8,59,5.9,167,108,10.8,8,5,8,8,0,0
392235,2,5,10,9,1,10,60,6,151,91,9.1,6,5,6,6,0,0
419112,2,5,10,4,0,4,69,6.9,213,144,14.4,7,5,7,7,0,0
419131,2,5,10,11,0,11,95,9.5,149,54,5.4,5,8,8,5,0,1
419139,2,5,10,2,0,2,69,6.9,189,120,12,6,5,6,6,0,0
419142,2,5,10,15,0,15,105,10.5,247,142,14.2,3,5,3,3,0,0
419148,2,5,10,3,0,3,111,11.1,154,43,4.3,5,4,4,5,0,1
419155,2,5,10,9,0,9,60,6,175,115,11.5,5,7,5,7,1,0
501204,2,5,10,4,0,4,60,6,138,78,7.8,8,5,5,5,1,1
501209,2,5,10,12,0,12,86,8.6,152,66,6.6,5,6,6,5,0,1
501225,2,5,10,6,0,6,61,6.1,196,135,13.5,4,5,5,4,1,0
501230,2,5,10,11,0,11,64,6.4,110,46,4.6,5,9,5,5,1,1
501236,2,5,10,9,0,9,46,4.6,95,49,4.9,5,7,5,5,1,1
501240,2,5,10,7,1,8,59,5.9,144,85,8.5,5,10,5,5,1,1
501254,2,5,10,2,0,2,70,7,197,127,12.7,5,3,5,3,1,0
501268,2,5,10,9,0,9,97,9.7,134,37,3.7,7,5,7,5,0,1
548322,2,5,10,7,0,7,79,7.9,198,119,11.9,7,5,5,7,1,0
548331,2,5,10,11,0,11,89,8.9,197,108,10.8,5,8,8,5,0,1
548341,2,5,10,8,0,8,67,6.7,190,123,12.3,5,2,5,2,1,0
